,solver_status,Grid connection installed capacity,solving_time,12h battery installed capacity,solver_status_code,6h battery installed capacity,1h battery installed capacity,2h battery installed capacity,total_renewable_energy,run_id,net_profit_add_investment,return_on_add_investment,pv_cost,logfile,objective_result,battery_cost,filename_export,PV high DC ratio installed capacity,8h battery installed capacity,battery_reflux,4h battery installed capacity,Nordex N100 2500 installed capacity,PV low DC ratio installed capacity,curtailment,total_investment_cost,total_generation,relative_curtailment,total_installed_capacity,total_storage_energy,total_storage_power,ratio
0,ok,10,22.197407484054565,0,0,0,0,0.0,52502.922062663216,220806_cablepooling_bothdcs,1.9846289662911987,0.10359831856576936,0.27483870967741936,cablepooling_paper_exp_117407477561502.log,-0.5709507855079661,0.18474193548387097,cablepooling_paper_exp_117407477561502.json,11.201044386422977,0,0.0,0.0,10,0.0,6867.394856396872,19.156961172407986,27611.67000000006,24.871349166482347,10.0,0.0,0.0,<1
1,ok,10,65.5047857761383,0,0,0,0,11.751009289348065,59466.39250950558,220806_cablepooling_bothdcs,2.1646230148698407,0.09586507763229572,0.27483870967741936,cablepooling_paper_exp_224912670065558.log,-0.5921981760905835,0.08680645161290323,cablepooling_paper_exp_224912670065558.json,14.334600760456274,0,0.0,0.0,10,0.0,3790.8832213895203,22.579891117102914,27611.67000000006,13.729279038136816,10.0,11.751009289348065,5.875504644674033,<1
2,ok,10,33.006277322769165,0,0,0,0,0.0,52627.7423502304,220806_cablepooling_bothdcs,1.902818010615168,0.09887269436134363,0.31516129032258067,cablepooling_paper_exp_158809621818833.log,-0.5004307986844505,0.2500322580645162,cablepooling_paper_exp_158809621818833.json,0.0,0,0.0,0.0,10,13.870967741935484,8017.03175115207,19.245131559387545,58436.09516129079,13.71931462741321,23.870967741935484,0.0,0.0,>1
3,ok,10,39.638991594314575,0,0,0,0,0.0,62003.2628571428,220806_cablepooling_bothdcs,2.105237331005831,0.11073929399521597,0.1941935483870968,cablepooling_paper_exp_114000979708728.log,-0.6968762445870846,0.1357741935483871,cablepooling_paper_exp_114000979708728.json,15.476190476190474,0,0.0,0.0,10,0.0,14223.022380952345,19.010752688172044,27611.67000000006,51.510909629704805,10.0,0.0,0.0,<1
4,ok,10,43.24555516242981,0,0,0,0,0.0,49713.156847825936,220806_cablepooling_bothdcs,1.9296046696993723,0.09850049521985144,0.33129032258064517,cablepooling_paper_exp_58253444313472.log,-0.5001857676762294,0.1357741935483871,cablepooling_paper_exp_58253444313472.json,9.945652173913043,0,0.0,0.0,10,0.0,4953.625869565213,19.589796633941095,27611.67000000006,17.94033417596691,10.0,0.0,0.0,<1
5,ok,10,20.921139001846313,0,0,0,0,0.0,50644.33420118327,220806_cablepooling_bothdcs,1.8619878541550368,0.0955568645308329,0.3554838709677419,cablepooling_paper_exp_41238705841986.log,-0.45270857114495433,0.20922580645161293,cablepooling_paper_exp_41238705841986.json,0.0,0,0.0,0.0,10,12.77120315581854,6739.482406311637,19.48565247820831,55992.16970414245,12.036473031715776,22.77120315581854,0.0,0.0,>1
6,ok,10,22.347203731536865,0,0,0,0,0.0,50866.380132743245,220806_cablepooling_bothdcs,1.9529475999038166,0.1005259874167652,0.3070967741935484,cablepooling_paper_exp_210321236462852.log,-0.5294384668048568,0.26635483870967747,cablepooling_paper_exp_210321236462852.json,10.464601769911505,0,0.0,0.0,10,0.0,5699.07061946902,19.427290893519842,27611.67000000006,20.64007942825989,10.0,0.0,0.0,<1
7,ok,10,19.27571678161621,0,0,0,0,0.0,51238.78551724148,220806_cablepooling_bothdcs,1.960539616622813,0.10127417561662348,0.29903225806451617,cablepooling_paper_exp_164810217061491.log,-0.539523734927547,0.2500322580645162,cablepooling_paper_exp_164810217061491.json,10.632183908045976,0,0.0,0.0,10,0.0,5964.9717241379285,19.3587319243604,27611.67000000006,21.60308204515669,10.0,0.0,0.0,<1
8,ok,10,15.303143739700317,0,0,0,0,0.0,53308.42016286646,220806_cablepooling_bothdcs,1.996043386222955,0.10412493508306324,0.2667741935483871,cablepooling_paper_exp_4896887419518.log,-0.5819020719196726,0.2418709677419355,cablepooling_paper_exp_4896887419518.json,11.563517915309445,0,0.0,0.0,10,0.0,7447.9903908794695,19.169696332878008,27611.67000000006,26.97406709148506,10.0,0.0,0.0,<1
9,ok,10,21.09773898124695,0,0,0,0,0.0,65185.9493129772,220806_cablepooling_bothdcs,2.142189982568352,0.11425710993707638,0.17,cablepooling_paper_exp_68321411140315.log,-0.7433532061243053,0.26635483870967747,cablepooling_paper_exp_68321411140315.json,16.908396946564885,0,0.0,0.0,10,0.0,16879.247251908382,18.748854961832063,27611.67000000006,61.13084522561781,10.0,0.0,0.0,<1
10,ok,10,16.063694953918457,0,0,0,0,0.0,52502.922062663216,220806_cablepooling_bothdcs,1.9846289662911987,0.10359831856576936,0.27483870967741936,cablepooling_paper_exp_54071404028043.log,-0.5709507855079661,0.28267741935483875,cablepooling_paper_exp_54071404028043.json,11.201044386422977,0,0.0,0.0,10,0.0,6867.394856396872,19.156961172407986,27611.67000000006,24.871349166482347,10.0,0.0,0.0,<1
11,ok,10,27.90782403945923,0,0,0,0,0.0,52177.468585608025,220806_cablepooling_bothdcs,1.977528051462896,0.1027033413341443,0.2829032258064516,cablepooling_paper_exp_100457567767417.log,-0.5602933158145109,0.20922580645161293,cablepooling_paper_exp_100457567767417.json,11.054590570719602,0,0.0,0.0,10,0.0,6627.027791563263,19.254758664852318,27611.67000000006,24.00082208560094,10.0,0.0,0.0,<1
12,ok,10,22.546254634857178,0,0,0,0,0.0,49233.928980000106,220806_cablepooling_bothdcs,1.9058278759459009,0.09420061149081944,0.3716129032258064,cablepooling_paper_exp_52865092560384.log,-0.453069285593817,0.20106451612903226,cablepooling_paper_exp_52865092560384.json,9.73,0,0.0,0.0,10,0.0,4639.26958,20.23158709677419,27611.67000000006,16.801843495884132,10.0,0.0,0.0,<1
13,ok,10,37.462456703186035,0,0,0,0,0.0,51238.78551724148,220806_cablepooling_bothdcs,1.960539616622813,0.10127417561662348,0.29903225806451617,cablepooling_paper_exp_137149897679613.log,-0.539523734927547,0.1520967741935484,cablepooling_paper_exp_137149897679613.json,10.632183908045976,0,0.0,0.0,10,0.0,5964.971724137927,19.3587319243604,27611.67000000006,21.60308204515668,10.0,0.0,0.0,<1
14,ok,10,53.394291400909424,0,0,0,0,7.131864945785042,52087.60259433946,220806_cablepooling_bothdcs,1.9979317950104247,0.09084187012687919,0.3716129032258064,cablepooling_paper_exp_58742844246734.log,-0.4648258896456874,0.07048387096774195,cablepooling_paper_exp_58742844246734.json,11.014150943396226,0,0.0,0.0,10,0.0,2709.9822309717024,21.99351237727595,27611.67000000006,9.814626319131355,10.0,7.131864945785042,3.565932472892521,<1
15,ok,10,21.804746866226196,0,0,0,0,0.0,55666.350398671144,220806_cablepooling_bothdcs,2.028976165250178,0.10609047994143855,0.24258064516129033,cablepooling_paper_exp_252834491063166.log,-0.616461762733709,0.2500322580645162,cablepooling_paper_exp_252834491063166.json,12.624584717607974,0,0.0,0.0,10,0.0,9214.95465116279,19.124959811381416,27611.67000000006,33.373405705496154,10.0,0.0,0.0,<1
16,ok,10,32.49067163467407,0,0,0,0,2.0400000000000027,49211.7067199999,220806_cablepooling_bothdcs,1.906303753355127,0.08948424421228073,0.4119354838709678,cablepooling_paper_exp_189970171804272.log,-0.40862435355492743,0.08680645161290323,cablepooling_paper_exp_189970171804272.json,9.72,0,0.0,0.0,10,0.0,3566.5366487288047,21.303233548387098,27611.67000000006,12.916772686073665,10.0,2.0400000000000027,1.0200000000000014,<1
17,ok,10,14.11614179611206,0,0,0,0,0.0,58604.1394362018,220806_cablepooling_bothdcs,2.065852247372725,0.10820790491956755,0.21838709677419355,cablepooling_paper_exp_259954229451162.log,-0.6545543155285625,0.2581935483870968,cablepooling_paper_exp_259954229451162.json,13.946587537091988,0,0.0,0.0,10,0.0,11444.634302670655,19.09150952426534,27611.67000000006,41.44854078971185,10.0,0.0,0.0,<1
18,ok,10,36.067986488342285,0,0,0,0,0.0,59714.761868512345,220806_cablepooling_bothdcs,2.0789705193351016,0.108979029089885,0.2103225806451613,cablepooling_paper_exp_215258277662199.log,-0.6682077295914259,0.20106451612903226,cablepooling_paper_exp_215258277662199.json,14.44636678200692,0,0.0,0.0,10,0.0,12342.993494809692,19.07679428507646,27611.67000000006,44.70208971355107,10.0,0.0,0.0,<1
19,ok,10,34.12710165977478,0,0,0,0,10.817276264591442,63149.992412451335,220806_cablepooling_bothdcs,2.2334543884531666,0.1036630428939234,0.20225806451612904,cablepooling_paper_exp_118703785654293.log,-0.6910815179840966,0.11129032258064517,cablepooling_paper_exp_118703785654293.json,15.992217898832685,0,0.0,0.0,10,0.0,6624.529022615055,21.54532923308648,27611.67000000006,23.9917724013616,10.0,10.817276264591442,5.408638132295721,<1
20,ok,10,24.55678701400757,0,0,0,0,0.0,60817.8333206106,220806_cablepooling_bothdcs,2.0918791722754735,0.1098411666220888,0.20225806451612904,cablepooling_paper_exp_51761888000665.log,-0.682287809003348,0.17658064516129035,cablepooling_paper_exp_51761888000665.json,14.942748091603052,0,0.0,0.0,10,0.0,13244.279045801548,19.044582615119428,27611.67000000006,47.96623690563273,10.0,0.0,0.0,<1
21,ok,10,75.0492742061615,0,0,0,0,9.536999999999999,58259.87024999991,220806_cablepooling_bothdcs,2.140105972666781,0.09777196576529637,0.2667741935483871,cablepooling_paper_exp_155355080934957.log,-0.5962464632372899,0.09496774193548388,cablepooling_paper_exp_155355080934957.json,13.791666666666666,0,0.0,0.0,10,0.0,4181.147329629222,21.88874853763441,27611.67000000006,15.142681806747701,10.0,9.536999999999999,4.7684999999999995,<1
22,ok,10,71.77113223075867,0,0,0,0,5.63987436840865,54285.86424242417,220806_cablepooling_bothdcs,2.049025457459256,0.09718521973804148,0.29903225806451617,cablepooling_paper_exp_35531633831778.log,-0.5470426944251947,0.09496774193548388,cablepooling_paper_exp_35531633831778.json,12.003367003367003,0,0.0,0.0,10,0.0,4114.255732956953,21.08371481777061,27611.67000000006,14.900423382421069,10.0,5.63987436840865,2.819937184204325,<1
