,total_investment_cost,1h battery installed capacity,2h battery installed capacity,curtailment,12h battery installed capacity,solver_status,filename_export,battery_reflux,6h battery installed capacity,solving_time,PV South installed capacity,objective_result,pv_cost,Nordex N100 2500 installed capacity,battery_cost,logfile,return_on_add_investment,net_profit_add_investment,solver_status_code,run_id,total_renewable_energy,8h battery installed capacity,Grid connection installed capacity,4h battery installed capacity,total_generation,relative_curtailment,total_installed_capacity,total_storage_energy,total_storage_power,ratio
0,19.549575551782684,0,0.0,5362.004736842099,0,ok,cablepooling_paper_exp_160061924245159.json,0.0,0,21.391061544418335,10.131578947368423,-0.5097522690990111,0.3232258064516129,10,0.22554838709677422,cablepooling_paper_exp_160061924245159.log,0.09911767470532755,1.9377084701688214,0,220725_cablepooling_1024,50126.32815789469,0,10,0.0,50126.32815789434,10.696982870862131,20.131578947368425,0.0,0.0,>1
1,19.71922580645161,0,0.0,5007.537600000016,0,ok,cablepooling_paper_exp_191499453889294.json,0.0,0,16.326571464538574,9.9,-0.490683011463408,0.3393548387096774,10,0.29083870967741937,cablepooling_paper_exp_191499453889294.log,0.09761076938310533,1.9248088026069243,0,220725_cablepooling_1024,49611.707399999876,0,10,0.0,49611.70739999961,10.093459512744074,19.9,0.0,0.0,<1
2,20.843251612903227,0,0.0,4495.878240000007,0,ok,cablepooling_paper_exp_167536553527048.json,0.0,0,24.33758568763733,9.52,-0.40701249340606016,0.4119354838709678,10,0.28267741935483875,cablepooling_paper_exp_167536553527048.log,0.0902937426018203,1.882015196120459,0,220725_cablepooling_1024,48767.2615199999,0,10,0.0,48767.26151999962,9.219050034532351,19.52,0.0,0.0,<1
3,19.32334053490278,0,0.0,6503.784318706696,0,ok,cablepooling_paper_exp_29942606751972.json,0.0,0,16.7640700340271,10.866050808314087,-0.5498061765390452,0.2909677419354839,10,0.29083870967741937,cablepooling_paper_exp_29942606751972.log,0.10192518176965636,1.969534996416935,0,220725_cablepooling_1024,51758.490623556485,0,10,0.0,51758.49062355614,12.565637522178278,20.866050808314085,0.0,0.0,>1
4,20.358148387096772,0,0.0,4705.944140000002,0,ok,cablepooling_paper_exp_66845248207594.json,0.0,0,16.067044258117676,9.69,-0.4437733569729396,0.3796774193548387,10,0.2581935483870968,cablepooling_paper_exp_66845248207594.log,0.09338445252436005,1.9011345415387164,0,220725_cablepooling_1024,49145.039940000046,0,10,0.0,49145.03993999962,9.575623797936503,19.689999999999998,0.0,0.0,<1
5,19.549575551782684,0,0.0,5362.004736842099,0,ok,cablepooling_paper_exp_196273137119330.json,0.0,0,45.106685638427734,10.131578947368423,-0.5097522690990111,0.3232258064516129,10,0.17658064516129035,cablepooling_paper_exp_196273137119330.log,0.09911767470532755,1.9377084701688214,0,220725_cablepooling_1024,50126.32815789469,0,10,0.0,50126.32815789434,10.696982870862131,20.131578947368425,0.0,0.0,>1
6,19.71922580645161,0,0.0,5007.537600000016,0,ok,cablepooling_paper_exp_26312853784821.json,0.0,0,17.332117319107056,9.9,-0.490683011463408,0.3393548387096774,10,0.299,cablepooling_paper_exp_26312853784821.log,0.09761076938310533,1.9248088026069243,0,220725_cablepooling_1024,49611.707399999876,0,10,0.0,49611.70739999961,10.093459512744074,19.9,0.0,0.0,<1
7,19.85805806451613,0,0.0,4963.2197,0,ok,cablepooling_paper_exp_62593313033112.json,0.0,0,19.34957718849182,9.87,-0.48121968944650084,0.34741935483870967,10,0.20922580645161293,cablepooling_paper_exp_62593313033112.log,0.09670604854757864,1.9203943272477269,0,220725_cablepooling_1024,49545.040619999985,0,10,0.0,49545.04061999961,10.01759134292953,19.869999999999997,0.0,0.0,<1
8,18.85069124423963,0,0.0,16121.242857142875,0,ok,cablepooling_paper_exp_152643792313885.json,0.0,0,14.603037357330322,16.428571428571427,-0.7274319484384444,0.17806451612903226,10,0.28267741935483875,cablepooling_paper_exp_152643792313885.log,0.11299172687638274,2.1299721565001466,0,220725_cablepooling_1024,64119.66857142855,0,10,0.0,64119.66857142787,25.14243010970054,26.428571428571427,0.0,0.0,>1
9,20.71393548387097,0,0.0,4535.4982999999975,0,ok,cablepooling_paper_exp_76810227839276.json,0.0,0,26.576138257980347,9.55,-0.41614668984190306,0.4038709677419355,10,0.29083870967741937,cablepooling_paper_exp_76810227839276.log,0.09107137636414848,1.8864466144343015,0,220725_cablepooling_1024,48833.92830000015,0,10,0.0,48833.92829999962,9.287596672823948,19.55,0.0,0.0,<1
10,19.156961172407986,0,0.0,7051.021096605754,0,ok,cablepooling_paper_exp_93738838029929.json,0.0,0,30.432719230651855,11.201044386422977,-0.5709507855079661,0.27483870967741936,10,0.20106451612903226,cablepooling_paper_exp_93738838029929.log,0.10359831856576936,1.9846289662911987,0,220725_cablepooling_1024,52502.922062663216,0,10,0.0,52502.922062662736,13.429768895891725,21.20104438642298,0.0,0.0,>1
11,20.1110064516129,0,0.0,4832.771599999999,0,ok,cablepooling_paper_exp_127130366994889.json,0.0,0,88.58111119270325,9.78,-0.46241246858415663,0.3635483870967742,10,0.11945161290322581,cablepooling_paper_exp_127130366994889.log,0.0950119510227522,1.910785959998897,0,220725_cablepooling_1024,49345.04027999992,0,10,0.0,49345.04027999961,9.793834542594961,19.78,0.0,0.0,<1
